"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"1","James Harden","HOU","PG,SG","4.43","1.42","3.84","1.03","3.55","-1.35","5.94","5.30","-5.28","18.89"
"2","Kevin Durant","GSW","SF,PF","3.40","1.79","2.80","2.29","0.88","2.27","5.21","1.69","-2.65","17.68"
"3","Anthony Davis","NOR","PF,C","2.82","3.22","1.35","4.77","2.24","2.18","1.82","0.22","-1.17","17.45"
"4","Karl-Anthony Towns","MIN","C","2.62","3.70","1.08","4.24","1.26","1.75","2.31","1.53","-2.16","16.32"
"5","Paul George","OKC","SG,SF","3.26","2.04","1.57","0.50","4.35","-0.53","2.08","3.80","-1.84","15.23"
"6","Damian Lillard","POR","PG","3.17","0.75","2.93","0.55","1.44","-0.66","4.88","2.95","-2.06","13.95"
"7","Nikola Jokic","DEN","PF,C","2.07","2.84","3.65","0.92","2.10","1.73","1.85","0.65","-2.47","13.34"
"8","Nikola Vucevic","ORL","PF,C","2.29","3.65","1.48","2.29","1.26","2.68","0.15","0.70","-1.19","13.32"
"9","Stephen Curry","GSW","PG,SG","2.63","0.55","1.73","0.03","1.16","1.45","3.21","4.58","-2.11","13.23"
"10","Joel Embiid","PHI","PF,C","3.07","3.82","1.22","4.03","0.18","1.37","1.76","0.68","-2.95","13.17"
"11","Giannis Antetokounmpo","MIL","SF,PF","2.88","3.49","2.50","2.71","2.01","4.72","-2.55","-0.26","-3.37","12.12"
"12","Tobias Harris","LAC","SF,PF","2.44","2.13","0.78","0.45","0.79","1.85","2.53","1.93","-1.05","11.83"
"13","LaMarcus Aldridge","SAS","PF,C","2.49","2.52","0.82","2.61","0.27","2.51","2.26","-0.74","-1.01","11.72"
"14","Rudy Gobert","UTH","C","1.43","4.06","0.55","5.03","1.21","4.40","-3.52","-0.85","-0.61","11.70"
"15","Kyrie Irving","BOS","PG,SG","2.23","0.60","2.82","0.29","2.43","1.60","1.33","2.17","-1.97","11.51"
"16","Jrue Holiday","NOR","PG,SG","2.43","0.94","4.21","1.55","2.90","0.83","-0.25","1.42","-2.67","11.36"
"17","Bradley Beal","WAS","SG","2.93","0.95","2.27","1.34","2.24","0.34","0.61","2.60","-2.04","11.25"
"18","Kawhi Leonard","TOR","SG,SF","2.37","1.33","0.63","0.24","2.33","1.69","2.83","1.02","-1.24","11.21"
"19","Kemba Walker","CHA","PG","2.81","0.64","2.53","0.60","1.77","-1.43","1.36","3.30","-1.82","9.77"
"20","Mike Conley","MEM","PG","2.19","0.29","3.00","0.13","2.15","-1.24","2.07","2.01","-1.05","9.54"
"21","DeAndre Ayton","PHO","C,PF","1.45","2.84","0.31","1.66","0.69","4.06","0.05","-0.85","-0.87","9.33"
"22","Jusuf Nurkic","POR","C","1.45","3.11","1.15","3.45","1.49","1.26","-0.30","-0.77","-1.54","9.30"
"23","Pascal Siakam","TOR","PF","1.45","1.77","0.95","0.97","1.30","2.85","0.59","0.11","-0.84","9.17"
"24","Marc Gasol","MEM","C","1.49","2.36","2.02","2.55","1.72","-0.55","-0.15","1.13","-1.52","9.05"
"25","Klay Thompson","GSW","SG,SF","2.45","0.56","0.40","0.92","1.68","0.10","0.45","2.98","-0.63","8.91"
"26","Brook Lopez","MIL","C","0.89","0.54","-0.23","4.66","-0.01","-0.08","0.24","2.49","0.06","8.57"
"27","Clint Capela","HOU","PF,C","1.35","3.08","-0.09","3.29","0.13","4.55","-2.45","-0.85","-0.61","8.40"
"28","Jimmy Butler","PHI","SG,SF","1.43","0.49","0.93","0.55","2.80","0.56","1.69","0.49","-0.54","8.40"
"29","Buddy Hield","SAC","SG","2.22","0.91","0.56","0.13","0.13","0.69","0.98","3.67","-0.93","8.36"
"30","Danilo Gallinari","LAC","SF,PF","1.66","1.03","0.50","-0.13","0.46","-0.29","3.52","2.01","-0.42","8.33"
"31","Myles Turner","IND","PF,C","0.80","1.48","0.06","5.66","0.18","1.03","-0.71","0.14","-0.53","8.11"
"32","Eric Bledsoe","MIL","PG,SG","1.46","0.71","2.44","0.29","2.24","1.03","0.05","1.05","-1.26","8.01"
"33","Blake Griffin","DET","PF,C","2.93","1.94","2.22","0.34","0.74","0.93","-0.16","2.23","-3.25","7.92"
"34","D'Angelo Russell","BKN","PG,SG","2.16","0.49","3.16","-0.03","1.77","-0.94","0.46","2.84","-2.14","7.78"
"35","Jayson Tatum","BOS","SF,PF","1.57","1.39","0.27","1.34","1.35","-0.41","1.41","1.34","-0.60","7.65"
"36","DeMar DeRozan","SAS","SG,SF","2.28","1.30","2.86","0.50","1.30","0.29","1.66","-0.66","-1.98","7.55"
"37","Jaren Jackson Jr.","MEM","PF","1.18","0.85","-0.13","3.24","1.16","1.41","0.25","0.19","-0.66","7.49"
"38","Serge Ibaka","TOR","PF,C","1.46","1.82","-0.03","2.61","0.04","2.24","0.20","0.03","-0.90","7.46"
"39","Jarrett Allen","BKN","PF,C","0.77","2.40","0.03","3.24","0.32","2.21","-0.41","-0.74","-0.44","7.38"
"40","Malcolm Brogdon","MIL","PG,SG","1.25","0.60","0.99","-0.19","0.50","1.59","2.06","0.94","-0.67","7.08"
"41","Jerami Grant","OKC","SF,PF","1.06","0.92","-0.25","2.92","1.07","1.44","-0.98","0.62","0.22","7.03"
"42","DeAndre Jordan","DAL","C","0.73","4.23","0.35","2.03","0.50","3.08","-1.67","-0.85","-1.43","6.97"
"43","Montrezl Harrell","LAC","PF,C","1.55","1.65","0.20","2.82","1.16","4.45","-3.60","-0.82","-0.47","6.94"
"44","CJ McCollum","POR","PG,SG","2.31","0.51","0.84","0.08","0.83","-0.09","0.94","1.99","-0.63","6.78"
"45","JJ Redick","PHI","SG","1.86","-0.16","0.81","-0.24","-0.11","-0.52","2.26","3.14","-0.37","6.67"
"46","Domantas Sabonis","IND","PF,C","1.19","2.43","0.77","0.39","0.41","3.56","-0.22","-0.66","-1.34","6.52"
"47","De'Aaron Fox","SAC","PG","1.74","0.41","3.48","0.55","2.94","0.12","-0.95","0.59","-2.37","6.52"
"48","Kyle Lowry","TOR","PG","0.85","0.42","3.88","0.39","1.68","-1.24","1.06","1.53","-2.06","6.51"
"49","Al Horford","BOS","PF,C","0.58","1.07","0.93","2.45","0.41","1.38","0.06","0.38","-0.76","6.50"
"50","Ben Simmons","PHI","PG,SF","1.65","2.68","4.16","1.29","1.96","3.45","-5.14","-0.85","-2.84","6.35"
"51","TJ Warren","PHO","SF","1.45","0.34","-0.07","0.76","1.35","0.85","0.63","1.21","-0.21","6.32"
"52","Julius Randle","NOR","PF,C","1.97","2.40","0.86","0.71","0.27","2.81","-0.82","-0.10","-1.82","6.28"
"53","Zach LaVine","CHI","PG,SG","2.28","0.53","1.46","0.13","1.02","-0.33","2.65","1.24","-2.87","6.11"
"54","Khris Middleton","MIL","SG,SF","1.59","1.09","1.56","-0.55","1.35","-0.87","1.23","2.12","-1.42","6.10"
